target_datetime,forecast_mw,forecast_made_at,origin_datetime,horizon_h,actual_mw,iso_forecast_mw,scored_at
2026-07-30 00:00:00,2381.564199823523,2026-08-02 15:43:20.344152+00:00,2026-07-29 23:00:00,1,,2516.5,
2026-07-30 01:00:00,2280.5652932892176,2026-08-02 15:43:20.344152+00:00,2026-07-29 23:00:00,2,,2416.6,
2026-07-30 02:00:00,2208.5997997955396,2026-08-02 15:43:20.344152+00:00,2026-07-29 23:00:00,3,,2366.1,
2026-07-30 03:00:00,2172.0219713544157,2026-08-02 15:43:20.344152+00:00,2026-07-29 23:00:00,4,,2273.0,
2026-07-30 04:00:00,2189.2561505358435,2026-08-02 15:43:20.344152+00:00,2026-07-29 23:00:00,5,,2320.5,
2026-07-30 05:00:00,2314.6162105481503,2026-08-02 15:43:20.344152+00:00,2026-07-29 23:00:00,6,,2412.6,
2026-07-30 06:00:00,2571.0591177061983,2026-08-02 15:43:20.344152+00:00,2026-07-29 23:00:00,7,,2603.8,
2026-07-30 07:00:00,2748.1545698693835,2026-08-02 15:43:20.344152+00:00,2026-07-29 23:00:00,8,,2797.2,
2026-07-30 08:00:00,2862.1189550027734,2026-08-02 15:43:20.344152+00:00,2026-07-29 23:00:00,9,,2886.1,
2026-07-30 09:00:00,2958.5950289974835,2026-08-02 15:43:20.344152+00:00,2026-07-29 23:00:00,10,,2975.4,
2026-07-30 10:00:00,2987.8784624201585,2026-08-02 15:43:20.344152+00:00,2026-07-29 23:00:00,11,,3042.4,
2026-07-30 11:00:00,3064.6061546020055,2026-08-02 15:43:20.344152+00:00,2026-07-29 23:00:00,12,,3073.5,
2026-07-30 12:00:00,3046.449496109789,2026-08-02 15:43:20.344152+00:00,2026-07-29 23:00:00,13,,3075.5,
2026-07-30 13:00:00,3152.0895823211144,2026-08-02 15:43:20.344152+00:00,2026-07-29 23:00:00,14,,3104.9,
2026-07-30 14:00:00,3286.247185801059,2026-08-02 15:43:20.344152+00:00,2026-07-29 23:00:00,15,,3127.6,
2026-07-30 15:00:00,3123.6514241574646,2026-08-02 15:43:20.344152+00:00,2026-07-29 23:00:00,16,,3125.0,
2026-07-30 16:00:00,3121.8547933808104,2026-08-02 15:43:20.344152+00:00,2026-07-29 23:00:00,17,,3125.4,
2026-07-30 17:00:00,3109.733724670047,2026-08-02 15:43:20.344152+00:00,2026-07-29 23:00:00,18,,3095.4,
2026-07-30 18:00:00,2961.6516788469335,2026-08-02 15:43:20.344152+00:00,2026-07-29 23:00:00,19,,3038.4,
2026-07-30 19:00:00,2939.597152535077,2026-08-02 15:43:20.344152+00:00,2026-07-29 23:00:00,20,,3017.5,
2026-07-30 20:00:00,2885.4757657601326,2026-08-02 15:43:20.344152+00:00,2026-07-29 23:00:00,21,,3011.0,
2026-07-30 21:00:00,2813.5342277343916,2026-08-02 15:43:20.344152+00:00,2026-07-29 23:00:00,22,,2927.8,
2026-07-30 22:00:00,2669.187680082483,2026-08-02 15:43:20.344152+00:00,2026-07-29 23:00:00,23,,2729.6,
2026-07-30 23:00:00,2495.3001655140984,2026-08-02 15:43:20.344152+00:00,2026-07-29 23:00:00,24,,2543.9,
